ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,01/02/2018,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/02/C9F43.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""CERRO GRANDE"", ubicado según antecedente en el Caserío Cerro Grande, Cantón Copinolapa, municipio de Sensuntepeque, departamento de Cabañas, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA CERRO GRANDE, MUNICIPIO DE SENSUNTEPEQUE, DEPARTAMENTO DE CABAÑAS"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,26/02/2016,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2016/02/B6B77.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida Autónoma ""El Escondido"", una porción de terreno rústico, desmembrado de otra mayor, denominada esta porción ""Finca El Escondido"", situada en el Cantón Los Encuentros, jurisdicción del Municipio de San Francisco Menéndez, Departamento de Ahuachapán, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA AUTONOMA EL ESCONDIDO, JURISDICCION DEL MUNICIPIO DE SAN FRANCISCO MENENDEZ, DEPARTAMENTO DE AHUACHAPAN"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,04/02/2015,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/02/AC45A.PDF,Decreto Municipal-Nuevo Cuscatlán,"Por medio de la presente Ordenanza se declara Zona de Desarrollo el área Sur del Municipio de Nuevo Cuscatlán, que comprende el área que se determinó por Decreto Número cuarenta y uno, en la reforma a la Ordenanza Municipal para la Regulación de los Usos de Suelo y las Actuaciones Urbanísticas del Municipio de Nuevo Cuscatlán, de fecha dieciocho de diciembre del año dos mil catorce, publicada en el Diario Oficial el 23 de diciembre del mismo año, en el cual se determinó como Zona Especial, señalada en el mapa con color lila, con fines de servicios vecinales tipo 2, habitacionales, institucionales y comerciales.","ORDENANZA DE DECLARATORIA DE ZONA DE DESARROLLO, ZONA SUR, DEL MUNICIPIO DE NUEVO CUSCATLAN, DEPARTAMENTO DE LA LIBERTAD"
ORGANO EJECUTIVO (Ministerio de Economía),22/11/2020,17/12/2015,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/12/B5012.PDF,Decreto Ejecutivo,"El presente Reglamento tiene por objeto reglamentar, conforme a lo indicado por la Ley de Gas Natural, las actividades de importación/exportación, almacenamiento y autoconsumo de gas natural, estableciendo para ello los requisitos técnicos y de seguridad que deben cumplir las instalaciones de almacenamiento de gas natural en cuanto a su diseño, construcción, operación y mantenimiento.","REGLAMENTO ESPECIAL PARA ALMACENAMIENTO, AUTOCONSUMO, IMPORTACION Y EXPORTACION DE GAS NATURAL"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,06/09/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/09/99784.PDF,Decreto Municipal-San José Villanueva,"El objeto de la presente Ordenanza es el de normar y regular el cobro de la contribución especial para la instalación, mantenimiento y pago del servicio de suministro de alumbrado público de las vías primarias; implementación, equipamiento, mantenimiento y funcionamiento de la Policía Municipal y mantenimiento de las vías de circulación primarias del Municipio de San José Villanueva, así como también apoyar económicamente a la labor administrativa que realiza la Alcaldía Municipal de San José Villanueva.","ORDENANZA DE CONTRIBUCION ESPECIAL DE INSTALACION, MANTENIMIENTO Y PAGO DEL SUMINISTRO DEL SERVICIO DE ALUMBRADO PUBLICO DE LAS VIAS PRIMARIAS; IMPLEMENTACION, EQUIPAMIENTO Y MANTENIMIENTO DE LA POLICIA MUNICIPAL Y MANTENIMIENTO DE LAS VIAS DE CIRCULACION PRIMARIAS DEL MUNICIPIO DE SAN JOSE VILLANUEVA, Y APOYO A LA FUNCION ADMINISTRATIVA DE LA ALCALDIA MUNICIPAL DE SAN JOSE VILLANUEVA, DEPARTAMENTO DE LA LIBERTAD"
INSTITUCIONES AUTONOMAS (Alcaldía Municipal),22/11/2020,13/02/2012,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/02/94FF2.PDF,Decreto Municipal-Panchimalco,"La presente Ordenanza tiene por objeto vigilar, controlar y autorizar las actividades que se refieren al desarrollo urbano y rural Territorial del Municipio, incorporando la dimensión ambiental como parte de los planes del desarrollo.","ORDENANZA DE CONTROL Y COBRO POR SERVICIOS PARA EL DESARROLLO TERRITORIAL EN EL MUNICIPIO DE PANCHIMALCO, DEPARTAMENTO DE SAN SALVADOR"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,27/05/2015,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/05/AFA70.PDF,Decreto Municipal-Tonacatepeque-5,"La presente Ordenanza tiene por objeto regular, promover y facilitar la participación ciudadana de manera organizada de las Colonias, pasajes y polígonos de colonias y urbanizaciones; asentamiento, Barrios, caseríos y cantones; con el objeto de crear en cada lugar relacionado, Asociaciones Comunales, así como crear las condiciones para la coordinación entre diferentes Asociaciones Comunales creadas dentro del Municipio de Tonacatepeque, Departamento de San Salvador y para crear un referente de funcionamiento permanente del sector comunal a nivel municipal.","ORDENANZA REGULADORA DE ASOCIACIONES COMUNALES DEL MUNICIPIO DE TONACATEPEQUE, DEPARTAMENTO DE SAN SALVADOR"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,05/04/2013,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/04/9E618.PDF,Decreto Municipal-Nuevo Cuscatlán,"Por medio de la presente Ordenanza se establece que la instancia encargada de la vigilancia, control y autorización de las actividades que se refiere al desarrollo territorial del municipio de Nuevo Cuscatlán, es la Municipalidad, en base a lo establecido en la Constitución de la República y las competencias conferidas en el Código Municipal vigente. El Municipio, basado en las regulaciones establecidas en el Plan de Desarrollo Territorial de la Región de La Libertad, el Plan de Desarrollo local, La Ley de Urbanismo y construcción y su respectivo Reglamento, la Ordenanza Municipal Reguladora de los Usos del Suelo y otras disposiciones legales de la materia.","ORDENANZA DE COBRO POR SERVICIOS PARA EL DESARROLLO TERRITORIAL EN EL MUNICIPIO DE NUEVO CUSCATLAN, DEPARTAMENTO DE LA LIBERTAD"
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal),22/11/2020,21/08/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/08/A9108.PDF,Decreto Municipal-Teotepeque,"La presente Ordenanza Municipal tiene como finalidad vigilar, controlar y autorizar las actividades que se refieren al desarrollo urbano y rural del Territorial del Municipio de Teotepeque, Departamento de La Libertad, incorporando la dimensión ambiental como parte de los planes del desarrollo.","ORDENANZA DE CONTROL Y COBRO POR SERVICIOS PARA EL DESARROLLO TERRITORIAL EN EL MUNICIPIO DE TEOTEPEQUE, DEPARTAMENTO DE LA LIBERTAD"
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales),22/11/2020,09/10/2014,https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA2B5.PDF,Decreto Ejecutivo,"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida El Chino, Porción Uno, ubicado en el cantón Garita Palmera, Municipio de San Francisco Menéndez, Departamento de Ahuachapán, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.","DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE EL CHINO, PORCION UNO, DEL MUNICIPIO DE SAN FRANCISCO MENENDEZ, DEPARTAMENTO DE AHUACHAPAN"
