Chapter,Agency,Filed,Caption,AON,Type,id,country,data_source,doc_url
161,Appraiser Certification and Licensure Board,09/07/2018 3:59 PM,Modification to paragraphs 16 and 39.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850281
161,Appraiser Certification and Licensure Board,09/10/2018 12:05 PM,Modifications to reflect newly adopted education and experience requirements by the federal Appraiser Qualifications Board.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850282
852,Board of Optometry,09/11/2018 11:12 AM,Updated fee schedule,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850289
259,Department of Public Safety Standards and Training,09/12/2018 11:43 AM,Removes obsolete date reference for temporary work permits; Includes clarifying amendments for temporary work permits.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850154
104,"Oregon Military Department, Office of Emergency Management",09/12/2018 11:52 AM,Establishment of Standards to further clarify eligible reimbursable products and services from the 911 Subaccount.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850290
259,Department of Public Safety Standards and Training,09/12/2018 11:56 AM,Removes cease and desist orders from Private Investigator rules for compliance.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850153
259,Department of Public Safety Standards and Training,09/12/2018 12:02 PM,Removes cease and desist orders from Private Security rules for compliance; Additional housekeeping corrections.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850152
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",09/12/2018 3:07 PM,Coordinated Care Organization Governing Board Public Meeting and Transparency Requirements,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850297
259,Department of Public Safety Standards and Training,09/13/2018 9:21 AM,Second Filing Regarding Firearms Courses/Qualifications: Emergency suspension for failure and annual due date changes.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850299
735,"Department of Transportation, Driver and Motor Vehicle Services Division",09/13/2018 2:59 PM,Vehicle Registration Card Contents,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850307
603,Department of Agriculture,09/14/2018 11:20 AM,Administration of the Bovine Manure Tax Credit,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850313
122,"Department of Administrative Services, Chief Financial Office",09/17/2018 1:28 PM,Adopting rules to provide criteria for assigning debts and using SSNs to collect debts.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850318
581,Oregon Department of Education,09/17/2018 3:38 PM,Extended Diploma,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850326
581,Oregon Department of Education,09/17/2018 3:45 PM,Vision Screening,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850327
