Issuing body	Published	File url	Ref	Summary	Title	file name
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	27/01/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/01/AC2DC.PDF	Decreto Municipal-Tamanique	La presente Ordenanza tiene por objeto, promover el desarrollo sostenible del Municipio de Tamanique, del departamento de La Libertad y de la microrregión conformada por la Asociación de Municipios del Sur de La Libertad, de la cual forma parte, por medio de la regulación en su ámbito geográfico y competencial de los usos del territorio y el control de las actuaciones urbanísticas, en la construcción del desarrollo integral y sostenible que ubique como centro de las actuaciones de la administración municipal, al ser humano y su bienestar social, económico y ambiental, velando por la preservación para las nuevas generaciones de un medio ambiente sano, que priorice la protección y el aprovechamiento efectivo de los recursos hídricos, la gestión de desarrollo local con enfoque de prevención y la mitigación de vulnerabilidades físicas, materiales y ambientales de la localidad.	ORDENANZA REGULADORA DE USOS DE SUELO Y ACTUACIONES URBANISTICAS DEL MUNICIPIO DE TAMANIQUE, DEPARTAMENTO DE LA LIBERTAD	765d4ea2383aaf45bb29bf75feadea6e06a80fd2
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	01/02/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/02/C9F43.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""CERRO GRANDE"", ubicado según antecedente en el Caserío Cerro Grande, Cantón Copinolapa, municipio de Sensuntepeque, departamento de Cabañas, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA CERRO GRANDE, MUNICIPIO DE SENSUNTEPEQUE, DEPARTAMENTO DE CABAÑAS	06dafc0a507e270d9b23b192489cb1012aed1a8f
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	21/08/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/08/C49CB.PDF	Decreto Municipal-Jocoro	La presente ordenanza tiene por objeto establecer el manejo adecuado de residuos sólidos, promoviendo la separación en residuos orgánicos e inorgánicos, el compostaje, una educación ambiental permanente para la buena gestión y mejorar las condiciones ambientales del Municipio de Jocoro, Departamento de Morazán.	ORDENANZA REGULADORA DE LOS RESIDUOS SOLIDOS DEL MUNICIPIO DE JOCORO, DEPARTAMENTO DE MORAZAN	3416cbf9af02b66c40c8ee6f6aa5988ba680dcb2
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA28E.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""Chaparrón o San Cayetano"" Cutumay Camones, municipio y departamento de Santa Ana, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE CHAPARRON O SAN CAYETANO, DEL MUNICIPIO DE SANTA ANA, DEPARTAMENTO DE SANTA ANA	485f9571c67f4a8009dd340bc5905f56a767b400
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	06/09/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/09/99784.PDF	Decreto Municipal-San José Villanueva	El objeto de la presente Ordenanza es el de normar y regular el cobro de la contribución especial para la instalación, mantenimiento y pago del servicio de suministro de alumbrado público de las vías primarias; implementación, equipamiento, mantenimiento y funcionamiento de la Policía Municipal y mantenimiento de las vías de circulación primarias del Municipio de San José Villanueva, así como también apoyar económicamente a la labor administrativa que realiza la Alcaldía Municipal de San José Villanueva.	ORDENANZA DE CONTRIBUCION ESPECIAL DE INSTALACION, MANTENIMIENTO Y PAGO DEL SUMINISTRO DEL SERVICIO DE ALUMBRADO PUBLICO DE LAS VIAS PRIMARIAS; IMPLEMENTACION, EQUIPAMIENTO Y MANTENIMIENTO DE LA POLICIA MUNICIPAL Y MANTENIMIENTO DE LAS VIAS DE CIRCULACION PRIMARIAS DEL MUNICIPIO DE SAN JOSE VILLANUEVA, Y APOYO A LA FUNCION ADMINISTRATIVA DE LA ALCALDIA MUNICIPAL DE SAN JOSE VILLANUEVA, DEPARTAMENTO DE LA LIBERTAD	2c1449a52f077b5b0d61471a55601f0a316be1a9
INSTITUCIONES AUTONOMAS (Alcaldía Municipal)	13/02/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/02/94FF2.PDF	Decreto Municipal-Panchimalco	La presente Ordenanza tiene por objeto vigilar, controlar y autorizar las actividades que se refieren al desarrollo urbano y rural Territorial del Municipio, incorporando la dimensión ambiental como parte de los planes del desarrollo.	ORDENANZA DE CONTROL Y COBRO POR SERVICIOS PARA EL DESARROLLO TERRITORIAL EN EL MUNICIPIO DE PANCHIMALCO, DEPARTAMENTO DE SAN SALVADOR	b8cd173e0e139a8b5acfa6851fe66321bf9a85b9
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	27/05/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/05/AFA70.PDF	Decreto Municipal-Tonacatepeque-5	La presente Ordenanza tiene por objeto regular, promover y facilitar la participación ciudadana de manera organizada de las Colonias, pasajes y polígonos de colonias y urbanizaciones; asentamiento, Barrios, caseríos y cantones; con el objeto de crear en cada lugar relacionado, Asociaciones Comunales, así como crear las condiciones para la coordinación entre diferentes Asociaciones Comunales creadas dentro del Municipio de Tonacatepeque, Departamento de San Salvador y para crear un referente de funcionamiento permanente del sector comunal a nivel municipal.	ORDENANZA REGULADORA DE ASOCIACIONES COMUNALES DEL MUNICIPIO DE TONACATEPEQUE, DEPARTAMENTO DE SAN SALVADOR	9de08a6aaf39239dac614fbe1cd2086ff812c0f4
ORGANO EJECUTIVO (Ministerio de Economía)	17/12/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/12/B5012.PDF	Decreto Ejecutivo	El presente Reglamento tiene por objeto reglamentar, conforme a lo indicado por la Ley de Gas Natural, las actividades de importación/exportación, almacenamiento y autoconsumo de gas natural, estableciendo para ello los requisitos técnicos y de seguridad que deben cumplir las instalaciones de almacenamiento de gas natural en cuanto a su diseño, construcción, operación y mantenimiento.	REGLAMENTO ESPECIAL PARA ALMACENAMIENTO, AUTOCONSUMO, IMPORTACION Y EXPORTACION DE GAS NATURAL	963ad5147bccd721a99f0413dd62571403905c3b
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	05/04/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/04/9E618.PDF	Decreto Municipal-Nuevo Cuscatlán	Por medio de la presente Ordenanza se establece que la instancia encargada de la vigilancia, control y autorización de las actividades que se refiere al desarrollo territorial del municipio de Nuevo Cuscatlán, es la Municipalidad, en base a lo establecido en la Constitución de la República y las competencias conferidas en el Código Municipal vigente. El Municipio, basado en las regulaciones establecidas en el Plan de Desarrollo Territorial de la Región de La Libertad, el Plan de Desarrollo local, La Ley de Urbanismo y construcción y su respectivo Reglamento, la Ordenanza Municipal Reguladora de los Usos del Suelo y otras disposiciones legales de la materia.	ORDENANZA DE COBRO POR SERVICIOS PARA EL DESARROLLO TERRITORIAL EN EL MUNICIPIO DE NUEVO CUSCATLAN, DEPARTAMENTO DE LA LIBERTAD	303730b2a0315b527a9c1711195fe347f2494558
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	21/08/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/08/A9108.PDF	Decreto Municipal-Teotepeque	La presente Ordenanza Municipal tiene como finalidad vigilar, controlar y autorizar las actividades que se refieren al desarrollo urbano y rural del Territorial del Municipio de Teotepeque, Departamento de La Libertad, incorporando la dimensión ambiental como parte de los planes del desarrollo.	ORDENANZA DE CONTROL Y COBRO POR SERVICIOS PARA EL DESARROLLO TERRITORIAL EN EL MUNICIPIO DE TEOTEPEQUE, DEPARTAMENTO DE LA LIBERTAD	dd7b815d8483fdcd321d5c74584131dc061d0790
