"<td class=""metadataFieldValue""> Ministry of Govt of Maharashtra</td>/<td class=""metadataFieldValue""> Department of Water Resources Department</td>",India,India Code,1a73b23d6a0559894294406de652019f29bba47b.pdf,https://www.indiacode.nic.in/bitstream/123456789/15745/1/the_maharashtra_water_conservation_corporation_act%2c_2000.pdf#search=forestry [2000 TO 2020],Act,10-Jan-2007,"<td class=""metadataFieldValue""> 20013</td>","<td class=""metadataFieldValue""> Maharashtra</td>",,"The  Sikkim University Act, 2006",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
"<td class=""metadataFieldValue""> Ministry of Agriculture and Farmers Welfare</td>/<td class=""metadataFieldValue""> Department of Agricultural Research and Education</td>",India,India Code,07f83e6bef169a6448be3b0b235ed3e696eb9174.pdf,https://www.indiacode.nic.in/bitstream/123456789/2125/1/201410.pdf#search=forestry [2000 TO 2020],Act,10-Jan-2007,"<td class=""metadataFieldValue""> 201410</td>","<td class=""metadataFieldValue""> Maharashtra</td>",,"The  Sikkim University Act, 2006",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
"<td class=""metadataFieldValue""> Ministry of Human Resource Development</td>/<td class=""metadataFieldValue""> Department of Higher Education</td>",India,India Code,56fefc9e4cfbf3f8028768eae477c1070d80516e.pdf,https://www.indiacode.nic.in/bitstream/123456789/2094/1/200709.pdf#search=forestry [2000 TO 2020],Act,10-Jan-2007,"<td class=""metadataFieldValue""> 200709</td>","<td class=""metadataFieldValue""> Maharashtra</td>",,"The  Sikkim University Act, 2006",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
"<td class=""metadataFieldValue""> Ministry of Human Resource Development</td>/<td class=""metadataFieldValue""> Department of Higher Education</td>",India,India Code,04f8f13dd44f86333993eb28c62509e13e476fcd.pdf,https://www.indiacode.nic.in/bitstream/123456789/2049/1/200710.pdf#search=forestry [2000 TO 2020],Act,10-Jan-2007,"<td class=""metadataFieldValue""> 200710</td>","<td class=""metadataFieldValue""> Maharashtra</td>",,"The  Sikkim University Act, 2006",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
"<td class=""metadataFieldValue""> Ministry of Human Resource Development</td>/<td class=""metadataFieldValue""> Department of Higher Education</td>",India,India Code,72d4d0b6a6ab5a013b92fde759d2d1523929e878.pdf,https://www.indiacode.nic.in/bitstream/123456789/1982/1/200008.pdf#search=forestry [2000 TO 2020],Act,10-Jan-2007,"<td class=""metadataFieldValue""> 200008</td>","<td class=""metadataFieldValue""> Maharashtra</td>",,"The  Sikkim University Act, 2006",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
 Ministry of Human Resource Development/ Department of Higher Education,India,India Code,02fd67fdd940802ac585a38463eea5b847ae0e10.pdf,https://www.indiacode.nic.in/bitstream/123456789/2087/1/200708.pdf#search=forestry [2000 TO 2020],Act,"<td class=""metadataFieldValue""> 2007-01-10</td>", 200708,Federal&State,,"<td id=""short_title"" class=""metadataFieldValue""> The Rajiv Gandhi University Act, 2006</td>",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
 Ministry of Human Resource Development/ Department of Higher Education,India,India Code,56fefc9e4cfbf3f8028768eae477c1070d80516e.pdf,https://www.indiacode.nic.in/bitstream/123456789/2094/1/200709.pdf#search=forestry [2000 TO 2020],Act,"<td class=""metadataFieldValue""> 2007-01-10</td>", 200709,Federal&State,,"<td id=""short_title"" class=""metadataFieldValue""> The Tripura University Act, 2006</td>",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
 Ministry of Agriculture and Farmers Welfare/ Department of Agricultural Research and Education,India,India Code,07f83e6bef169a6448be3b0b235ed3e696eb9174.pdf,https://www.indiacode.nic.in/bitstream/123456789/2125/1/201410.pdf#search=forestry [2000 TO 2020],Act,"<td class=""metadataFieldValue""> 2014-03-04</td>", 201410,Federal&State,,"<td id=""short_title"" class=""metadataFieldValue""> The Rani Lakshmi Bai Central Agricultural University Act, 2014</td>",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
 Ministry of Human Resource Development/ Department of Higher Education,India,India Code,72d4d0b6a6ab5a013b92fde759d2d1523929e878.pdf,https://www.indiacode.nic.in/bitstream/123456789/1982/1/200008.pdf#search=forestry [2000 TO 2020],Act,"<td class=""metadataFieldValue""> 2001-04-25</td>", 200008,Federal&State,,"<td id=""short_title"" class=""metadataFieldValue""> The Mizoram University Act, 2000</td>",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
 Ministry of Govt of Maharashtra/ Department of Water Resources Department,India,India Code,1a73b23d6a0559894294406de652019f29bba47b.pdf,https://www.indiacode.nic.in/bitstream/123456789/15745/1/the_maharashtra_water_conservation_corporation_act%2c_2000.pdf#search=forestry [2000 TO 2020],Act,"<td class=""metadataFieldValue""> 2001-01-02</td>", 20013, Maharashtra,,"<td id=""short_title"" class=""metadataFieldValue""> The Maharashtra Water Conservation Corporation Act, 2000</td>",https://www.indiacode.nic.in/handle/123456789/2049?view_type=search&sam_handle=123456789/1362
