/ Department of AGRICULTURE AND MARKETING,India,India Code,859644d69fdd0b1e66f1dcf5a42f2d9a3f31fe90.pdf,https://www.indiacode.nic.in/bitstream/123456789/6515/1/kishan_ayog_2016_hindi_.pdf#search=Miner OR Ore OR Pit OR Bog OR Buffer OR Corridor OR (Country planning) OR Cropland OR (Degraded land) OR Desert OR Floodplain OR Forestland OR Freshwater OR Grassland OR (Land use) OR Landowner OR Mangrove OR Marsh OR Meadow [1950 TO 2021],Act, 2016-11-30, 201629, Uttarakhand,,The Uttarakhand state farmer comission Act,https://www.indiacode.nic.in/handle/123456789/2109?view_type=search&sam_handle=123456789/1362
" Ministry of Agriculture and Farmers Welfare/ Department of �Agriculture, Cooperation and Farmers Welfare",India,India Code,876b66a43ea68e055193465940377107b9cd4fcc.pdf,https://www.indiacode.nic.in/bitstream/123456789/15511/1/A2020_20.pdf#search=Miner OR Ore OR Pit OR Bog OR Buffer OR Corridor OR (Country planning) OR Cropland OR (Degraded land) OR Desert OR Floodplain OR Forestland OR Freshwater OR Grassland OR (Land use) OR Landowner OR Mangrove OR Marsh OR Meadow [1950 TO 2021],Act, 2020-09-24, 202020,Federal,"An Act to provide for a national framework on farming agreements that protects and empowers farmers to engage with agri-business firms, processors, wholesalers, exporters or large retailers for farm services and sale of future farming produce at a mutually agreed remunerative price framework in a fair and transparent manner and for matters connected therewith or incidental thereto.","The Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020.",https://www.indiacode.nic.in/handle/123456789/15722?view_type=search&sam_handle=123456789/2499
 Ministry of Agriculture/ Department of Agriculture,India,India Code,e898428130c73dd8be1dfc58fe2198ab388ebd96.pdf,https://www.indiacode.nic.in/bitstream/123456789/5727/1/the_himachal_pradesh_tractor_cultivation_%28recovery_of_charges%29_act%2c_1973.pdf#search=Miner OR Ore OR Pit OR Bog OR Buffer OR Corridor OR (Country planning) OR Cropland OR (Degraded land) OR Desert OR Floodplain OR Forestland OR Freshwater OR Grassland OR (Land use) OR Landowner OR Mangrove OR Marsh OR Meadow [1950 TO 2021],Act, 1973-07-04, 197316, Himachal Pradesh,,"The Himachal Pradesh Tractor Cultivation (Recovery of Charges) Act, 1973",https://www.indiacode.nic.in/handle/123456789/15722?view_type=search&sam_handle=123456789/2499
 Ministry of Law Department/ Department of Law Department,India,India Code,fe8b9097194caaed0b8985f4a4dddeca06833fa4.pdf,https://www.indiacode.nic.in/bitstream/123456789/5460/1/the_meghalaya_heritage_act%2c_2012_%28act_no._9_of_2012%29.pdf#search=Peatland OR Plain OR Plantation OR Prairie OR Rangeland OR Reserve OR Riverbank OR (Salt marsh) OR Scrubland OR Shrub OR Shrubland OR Silvopasture OR Soil OR Swamp OR Watershed OR Wetland OR (Assisted regeneration) OR (BiodiversityClimatic change) OR Contamination [1950 TO 2021],Act, 2012-04-03, 20129, Meghalaya,"An Act to provide for conservation and protection of heritage sites which shall include buildings, artefacts, structures,areas, streets and precincts of historic or cultural or environmental significance (heritage buildings and heritage precincts) and natural features of environmental significance and sites of scenic beauty and also to provide for conservation and protection of areas of environmental sensitivity.","The Meghalaya Heritage Act, 2012 (Act No. 9 of 2012)",https://www.indiacode.nic.in/handle/123456789/4934?view_type=search&sam_handle=123456789/2513
" Ministry of Agriculture and Farmers Welfare/ Department of Agriculture, Cooperation and Farmers Welfare",India,India Code,afca018efb184ada2624bba04c111a054a068037.pdf,https://www.indiacode.nic.in/bitstream/123456789/1909/1/200153.pdf#search=Miner OR Ore OR Pit OR Bog OR Buffer OR Corridor OR (Country planning) OR Cropland OR (Degraded land) OR Desert OR Floodplain OR Forestland OR Freshwater OR Grassland OR (Land use) OR Landowner OR Mangrove OR Marsh OR Meadow [1950 TO 2021],Act, 2001-10-30, 200153,Federal,"An Act to provide for the establishment of an effective system for protection of plant varieties, the rights of farmers and plant breeders and to encourage the development of new varieties of plants.","The Protection of Plant Varieties and Farmers Rights Act, 2001",https://www.indiacode.nic.in/handle/123456789/4934?view_type=search&sam_handle=123456789/2513
,India,India Code,43fd1c3c2b65e8a586a34995feb553be7de5ed8d.pdf,https://upload.indiacode.nic.in/showfile?actid=AC_CEN_23_31_00002_200153_1517807322692&type=rule&filename=rules_2003_sw.pdf,Rule,12-09-2003,,Federal,,"Protection of Plant Vhrieties and Farmers’ Rights Rules, 2003.",https://www.indiacode.nic.in/handle/123456789/4934?view_type=search&sam_handle=123456789/2513
,India,India Code,79c967ab0fae9aa8d917cd7e92d1a8e4daa203a7.pdf,https://upload.indiacode.nic.in/showfile?actid=AC_CEN_23_31_00002_200153_1517807322692&type=rule&filename=ppvfr_amendment_rules_2008_sw.pdf,Rule,14-10-2008,,Federal,,"Protection of Plant Varieties and Farmers’ Rights (Amendment) Rules, 2008.",https://www.indiacode.nic.in/handle/123456789/4934?view_type=search&sam_handle=123456789/2513
,India,India Code,ff10e01922d03f62ec7757f2c1f2e0ca35057ee8.pdf,https://upload.indiacode.nic.in/showfile?actid=AC_CEN_23_31_00002_200153_1517807322692&type=rule&filename=ppvfr_amendment_relating_to_fixation_of_fees_rules_sw.pdf,Rule,11-12-2009,,Federal,,"Protection of Plant Varieties and Farmers' Rights (Amendment) Rules, 2009.",https://www.indiacode.nic.in/handle/123456789/4934?view_type=search&sam_handle=123456789/2513
,India,India Code,eda497828a11cc7630eb2af2654ab6eded12cc95.pdf,https://upload.indiacode.nic.in/showfile?actid=AC_CEN_23_31_00002_200153_1517807322692&type=rule&filename=ppvfr_third_amendment_rule_2009_sw.pdf,Rule,17-12-2009,,Federal,,"Protection of Plant Varieties and Farmers‘ Rights (Third Amendment) Rules.2009,",https://www.indiacode.nic.in/handle/123456789/4934?view_type=search&sam_handle=123456789/2513
,India,India Code,6307a1823908fe3a70e8f8694f15d8259a034ca9.pdf,https://upload.indiacode.nic.in/showfile?actid=AC_CEN_23_31_00002_200153_1517807322692&type=rule&filename=ppvfra_appellate_tribunal_rules_2010-min.pdf,Rule,21-09-2010,,Federal,,"Plant Varieties Protection Appellate Tribunal (Applications and Appeals) Rules, 2010. ",https://www.indiacode.nic.in/handle/123456789/4934?view_type=search&sam_handle=123456789/2513
