DEPARTMENT OF COMMERCE,USA,Federal Register,d2880b93f796ce038aadb045546f2015bf866533.txt,https://api.govinfo.gov/packages/FR-2017-01-03/granules/2016-31702/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-03,2016-31702,Federal,"NMFS has received a request from the U.S. Navy (Navy) for authorization to take marine mammals incidental to conducting waterfront construction at Naval Submarine Base Kings Bay, GA, over the course of five years (2017-2022). As required by the Marine Mammal Protection Act (MMPA), NMFS is proposing regulations to govern that take, and requests comments on the proposed regulations.",Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Waterfront Construction,https://api.govinfo.gov/packages/FR-2017-01-03/granules/2016-31702/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,133bb5581d0e318c29f820949b5fe95c7105e19c.txt,https://api.govinfo.gov/packages/FR-2017-01-11/granules/2016-31203/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-11,2016-31203,Federal,"This action proposes the federal plan for existing commercial and industrial incineration (CISWI) units. This proposed action implements the Environmental Protection Agency's (EPA) emission guidelines (EG) adopted on February 7, 2013, as amended on June 23, 2016, in states that do not have an approved state plan implementing the EG in place by the effective date of this federal plan. The federal plan will result in emissions reductions of certain pollutants from all affected units covered.",Federal Plan Requirements for Commercial and Industrial Solid Waste Incineration Units,https://api.govinfo.gov/packages/FR-2017-01-11/granules/2016-31203/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,a7e428b0b90232cc131d815b525acd1c05096fd4.txt,https://api.govinfo.gov/packages/FR-2017-01-13/granules/2016-31745/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-13,2016-31745,Federal,"The Environmental Protection Agency (EPA) is proposing a rule to implement section 425 of the Consolidated Appropriations Act of 2016, which requires EPA to work with the Great Lakes states to establish public notification requirements for combined sewer overflow (CSO) discharges to the Great Lakes. The proposed requirements address signage, notification of local public health departments and other potentially affected public entities, notification to the public, and annual notice provisions. The proposed rules, when finalized, will protect public health by ensuring timely notification to the public and to public health departments, public drinking water facilities and other potentially affected public entities, including Indian tribes. Timely notice may allow the public to take steps to reduce their potential exposure to pathogens associated with human sewage, which can cause a wide variety of health effects, including gastrointestinal, skin, ear, respiratory, eye, neurologic, and wound infections.",Public Notification Requirements for Combined Sewer Overflows to the Great Lakes Basin,https://api.govinfo.gov/packages/FR-2017-01-13/granules/2016-31745/summary?api_key=
DEPARTMENT OF THE INTERIOR,USA,Federal Register,4733caa7bef0ab2a2ded708c0ad56b0cfdab0919.txt,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01840/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-26,2017-01840,Federal,"In accordance with a January 20, 2017, memo from the White House, we, the U.S. Fish and Wildlife Service and the National Marine Fisheries Service (Services), are delaying the effective date of a policy we published on December 27, 2016.",Candidate Conservation Agreements With Assurances Policy,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01840/summary?api_key=
FARM CREDIT SYSTEM INSURANCE CORPORATION,USA,Federal Register,87fde7703aff6c6bca1a1bc6a8cc3b211e27d47e.txt,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01761/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-26,2017-01761,Federal,Notice is hereby given of the regular meeting of the Farm Credit System Insurance Corporation Board (Board).,Regular Meeting,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01761/summary?api_key=
FARM CREDIT ADMINISTRATION,USA,Federal Register,43d67f43d2a65b4b5d9ab9a5ddef6847bb499bce.txt,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01760/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-26,2017-01760,Federal,"The Farm Credit Administration (FCA) published a notice in the Federal Register on January 18, 2017, of its approval of the Draft Third Amended and Restated Market Access Agreement (Draft Third Restated MAA). This document corrects that notice by inserting a minor term and phrase that were inadvertently omitted in the Draft Third Restated MAA which was included in the notice.",Market Access Agreement; Correction,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01760/summary?api_key=
DEPARTMENT OF DEFENSE,USA,Federal Register,ad2371773e5296e25a0bfc7a552d6d159a5a235e.txt,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01804/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-26,2017-01804,Federal,"The Jacksonville District, U.S. Army Corps of Engineers (Corps) is beginning preparation of a supplemental National Environmental Policy Act (NEPA) analysis for the Port Everglades Navigation Improvements Project. The Port Everglades Navigation Improvement Project is designed to address future growth of cargo being transported to southeast Florida on post-Panamax ships due to the completion of the Panama Canal expansion, and to ensure safe navigational conditions for those vessels, as well as vessels currently calling at Port Everglades. The Port Everglades Feasibility Study was authorized through House Document 126, 103rd Congress, 1st Session, and House Document 144, 93rd Congress, 1st Session and by a resolution of the House Committee on Transportation dated May 9, 1996. In response to the study authority, the feasibility study was initiated in 2001 and completed with the signature of a Chief's Report and Record of Decision in 2016. The final recommended project was authorized as part of the Water Infrastructure Improvements for the Nation Act signed December 2016. The non-federal sponsor for the project is Broward County. The primary federal objective is to provide for increased navigational safety, efficiency, and improved economic conditions while limiting impacts to the environment to the maximum extent practicable, in accordance with environmental statutes, applicable executive orders, and other federal planning requirements.","Intent To Prepare an Analysis Under the National Environmental Policy Act for the Port Everglades Navigation Improvements Project, Broward County, Florida",https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01804/summary?api_key=
DEPARTMENT OF AGRICULTURE,USA,Federal Register,60dfde746587a9082e5d9d20df20d613018003d9.txt,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01767/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-26,2017-01767,Federal,"In accordance with the Privacy Act of 1974, the Department of Agriculture proposes to revise an existing Department of Agriculture system of records notice now titled, USDA/OCIO-2 eAuthentication Service (eAuth). The USDA eAuth provides the public and government businesses with a single sign-on capability for USDA applications, management of user credentials, and verification of identity, authorization, and electronic signatures. USDA's eAuth collects customer information through an electronic self-registration process provided through the eAuth Web site. This System of Records Notice was previously published as ``USDA eAuthentication Service'' in Federal Register Vol. 77, No. 50 on Wednesday, March 14, 2012. The revision reflects updates to the system name; the system location; routine uses; storage policies; safeguards; retention and disposal; identity proofing individuals, the system manager; and notification, record access, and contesting procedures.",Privacy Act of 1974; Revised System of Records,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01767/summary?api_key=
DEPARTMENT OF THE INTERIOR,USA,Federal Register,a71c2382b08c3257c3505e2131552963a0fe6c99.txt,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01841/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-26,2017-01841,Federal,"In accordance with a January 20, 2017, memo from the White House, we, the U.S. Fish and Wildlife Service, are delaying the effective date of a rule we published on December 27, 2016.",Endangered and Threatened Wildlife and Plants; Revisions to the Regulations for Candidate Conservation Agreements With Assurances,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01841/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,ca9f465e028303d39337648844e653e8506820b7.txt,https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01822/htm?api_key=tukExmaroLjULdfyyQqkppYYMrOBBJJglb5bp6zq,Regulatory Information,2017-01-26,2017-01822,Federal,"In accordance with the Presidential directive as expressed in the memorandum of January 20, 2017, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Freeze Pending Review,'' this action temporarily delays until March 21, 2017, the effective date of the regulations listed in the table below. EPA identified 30 regulations that meet those criteria.","Delay of Effective Date for 30 Final Regulations Published by the Environmental Protection Agency Between October 28, 2016 and January 17, 2017",https://api.govinfo.gov/packages/FR-2017-01-26/granules/2017-01822/summary?api_key=
