,keyword,sentence_ID,xlm_K-rank,xlm_K-sim,xlm_S-rank,xlm_S-sim,dist_K-rank,dist_K-sim,dist_S-rank,dist_S-sim
0,asistencia técnica,00a55af_79,1316,0.47,1,1.0,15000,0.0,1,1.0
1,asistencia técnica,15169f7_74,1408,0.47,2,1.0,15000,0.0,2,0.97
2,asistencia técnica,3416cbf_67,249,0.57,1209,0.61,64,0.28,1102,0.33
3,asistencia técnica,3c8c7a4_66,4642,0.38,545,0.66,82,0.27,15000,0.0
4,asistencia técnica,48bdadf_160,1023,0.49,414,0.67,30,0.32,1059,0.33
5,asistencia técnica,48bdadf_162,2880,0.41,2300,0.56,153,0.24,539,0.37
6,asistencia técnica,499d53d_51,787,0.5,4318,0.51,14,0.4,1488,0.31
7,asistencia técnica,66d8c54_80,1409,0.47,3,1.0,15000,0.0,3,0.97
8,asistencia técnica,6a85bfd_11,15000,0.0,368,0.68,15000,0.0,557,0.37
9,asistencia técnica,7eab6c1_52,183,0.58,612,0.65,17,0.37,3057,0.27
10,asistencia técnica,88ad2ff_51,184,0.58,613,0.65,18,0.37,3058,0.27
11,asistencia técnica,901a837_63,8211,0.33,702,0.64,163,0.24,235,0.41
12,asistencia técnica,901a837_81,6220,0.35,564,0.66,177,0.23,979,0.34
13,asistencia técnica,902bedc_41,3571,0.4,1402,0.6,314,0.2,1750,0.3
14,asistencia técnica,902bedc_58,4050,0.39,503,0.66,86,0.27,15000,0.0
15,asistencia técnica,b8dd82f_15,2616,0.42,390,0.68,155,0.24,141,0.43
16,asistencia técnica,e18d168_244,15000,0.0,6979,0.45,15000,0.0,3784,0.25
17,asistencia técnica,e18d168_247,15000,0.0,4105,0.51,40,0.31,1063,0.33
18,asistencia técnica,ee138a1_13,15000,0.0,8349,0.42,44,0.3,4257,0.24
19,ayuda,00a55af_61,880,0.39,1,1.0,12,0.22,1,1.0
20,ayuda,15169f7_58,881,0.39,2,1.0,13,0.22,2,1.0
21,ayuda,17252d8_50,1843,0.35,2235,0.62,15000,0.0,15000,0.0
22,ayuda,29c84d6_47,1732,0.35,2912,0.6,15000,0.0,15000,0.0
23,ayuda,303730b_146,15000,0.0,15000,0.0,15000,0.0,15000,0.0
24,ayuda,323ef51_92,8815,0.24,6388,0.53,15000,0.0,15000,0.0
25,ayuda,4e220b5_119,744,0.39,3253,0.59,11,0.23,262,0.31
26,ayuda,66d8c54_62,882,0.39,3,1.0,14,0.22,3,1.0
27,ayuda,889f980_555,2863,0.32,6554,0.52,15000,0.0,15000,0.0
28,ayuda,8e81fe2_558,4921,0.29,9301,0.48,15000,0.0,15000,0.0
29,ayuda,930897c_161,2043,0.34,3069,0.6,15000,0.0,15000,0.0
30,ayuda,b8ff0ff_93,1425,0.36,1666,0.64,15000,0.0,15000,0.0
31,ayuda,e2bb383_230,2958,0.32,8280,0.5,15000,0.0,15000,0.0
32,ayuda,ea91c69_93,2044,0.34,3070,0.6,15000,0.0,15000,0.0
33,bono,00a55af_80,15000,0.0,1,1.0,15000,0.0,1,1.0
34,bono,15169f7_75,15000,0.0,2,1.0,15000,0.0,2,0.99
35,bono,66d8c54_81,15000,0.0,6,0.86,15000,0.0,3,0.78
36,bono,d44820b_34,15000,0.0,9703,0.45,15000,0.0,15000,0.0
37,bono,d44820b_51,15000,0.0,6521,0.5,15000,0.0,15000,0.0
38,crédito,0f03aa3_641,5,0.52,1,1.0,37,0.26,1,1.0
39,crédito,0f03aa3_552,6,0.52,2,1.0,38,0.26,2,1.0
40,crédito,0f03aa3_725,425,0.36,24,0.68,67,0.23,9,0.96
41,crédito,0f03aa3_1077,346,0.37,13,0.7,15000,0.0,11,0.96
42,crédito,0f03aa3_803,301,0.37,12,0.71,48,0.25,8,0.98
43,crédito,0f03aa3_939,426,0.36,25,0.68,68,0.23,10,0.96
44,crédito,0f03aa3_1142,302,0.37,9,0.72,57,0.24,7,0.98
