0,1,2
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"Generar empleo y garantizara la población campesina el bienestar y su participación e incorporación en el desarrollo nacional, y fomentará la actividad agropecuaria y forestal para el óptimo uso de la tierra, con obras de infraestructura, insumos, créditos, servicios de capacitación y asistencia técnica","Direct payment (PES), Credit, Technical assistance"
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"El Programa incentivará a los sujetos agrarios a establecer sistemas productivos agroforestales, el cual combina la producción de los cultivos tradicionales en conjunto con árboles frutícolas y maderables, y el sistema de Milpa Intercalada entre Árboles Frutales (MIAF), con lo que se contribuirá a generar empleos, se incentivará la autosuficiencia alimentaria, se mejorarán los ingresos de las y los pobladores y se recuperará la cobertura forestal de un millón de hectáreas en el país","Direct payment (PES), Credit, Technical assistance"
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,Los sujetos agrarios beneficiados por el programa contarán con los siguientes apoyos,"Supplies, Technical assistance"
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"apoyo económico según se establece en el numeral 3.6.1, y podrán contar con los siguientes apoyos en especie, dependiendo del tipo de cultivo a establecerse en cada territorio","Supplies, Technical assistance"
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"plantas, insumos, herramientas, viveros comunitarios y biofábricas","Supplies, Technical assistance"
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"Adicionalmente, contarán con acompañamiento técnico y formación permanente","Supplies, Technical assistance"
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"El sujeto de derecho, recibirá un apoyo económico de $5,000.00 (Cinco mil pesos 00/100 M.N.) mensuales por el cumplimiento del plan de trabajo del Programa en la unidad de producción de 2.5 hectáreas, de los cuales, $500.00 (Quinientos pesos 00/100 M.N.) se destinará como ahorro del sujeto de derecho",Direct payment (PES) 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"de esta cantidad, hasta $450 (Cuatrocientos cincuenta pesos 00/100 podrán ser destinados a una cuenta de ahorro de una institución financiera con sucursales en las localidades rurales, y cuando menos $50 (Cincuenta pesos 00/100 M.N.) podrán ser destinados al Fondo de Bienestar",Direct payment (PES) 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"El sujeto de derecho, recibirá en especie las plantas necesarias para implementar el programa agroforestal en su unidad productiva y de acuerdo a la vocación productiva de la región",Supplies  
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"El sujeto de derecho recibirá en especie los insumos necesarios para desarrollar el programa agroforestal en su unidad de producción, los cuales podrán variar de acuerdo al tipo de cultivo a establecerse en cada territorio, considerando la vocación productiva de la región, la pertinencia cultural y la perspectiva de género",Supplies  
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,Herramientas,Supplies  
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,El sujeto de derecho recibirá en especie un paquete de herramientas para realizar las actividades en su unidad de producción,Supplies  
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"Los paquetes de herramientas considerarán la perspectiva de género e intercultural, con el fin de garantizar su apropiación de acuerdo al contexto y de tratarse de mujeres y hombres",Supplies  
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,Establecer y desarrollar sistemas agroforestales,Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,promover y fortalecer la organización comunitaria,Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,e impulsar la cooperación para lograr la generación de riqueza y diversificación de ingresos,Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"Cada CAC se reunirá al menos dos veces al mes y estará acompañada por un(a) Técnico(a) Social, un(a) Técnico(a) Productivo y 3 jóvenes becarios (as) y serán un espacio privilegiado para favorecer el acompañamiento y capacitación por parte de los Técnicos (as)",Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"Los Técnicos(as) Productivos coordinarán la asesoría para implementar el Programa, en diálogo con los sujetos de derecho, en los aspectos técnico productivos",Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"Los Técnicos(as) Sociales coordinarán las acciones que fortalezcan el tejido social y la solución de los problemas comunitarios, detectados en las CACs",Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"Formación Permanente Además del acompañamiento técnico, los sujetos de derecho participarán en un proceso permanente de formación a lo largo de todo el año, que les permita enriquecer sus habilidades y capacidades en el ámbito social y productivo",Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,Este proceso deformación también será implementado para el personal operativo del Programa,Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"La Subsecretaría, en colaboración con otras instituciones especializadas en el área educativa y de desarrollo de capacidades, elaborará un programa y proceso de formación, el cual será implementado a través de las CACs",Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"El binomio de técnicos será capacitado en cuestiones de género, uso del tiempo de las mujeres campesinas, agricultura y proyectos productivos para mujeres, con el objetivo de fortalecer la participación de las mujeres en el Programa",Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Sembrando Vida,"Los apoyos económicos mensuales para los sujetos de derecho, consistentes en $5,000 (Cinco mil pesos 00/100 M.N.)",Direct payment (PES)
